Tag,Keyword
"(0010,2299)",ResponsibleOrganization
"(0010,4000)",PatientComments
"(0010,9431)",ExaminedBodyThickness
"(0012,0010)",ClinicalTrialSponsorName
"(0012,0020)",ClinicalTrialProtocolID
"(0012,0021)",ClinicalTrialProtocolName
"(0012,0030)",ClinicalTrialSiteID
"(0012,0031)",ClinicalTrialSiteName
"(0012,0040)",ClinicalTrialSubjectID
"(0012,0042)",ClinicalTrialSubjectReadingID
"(0012,0050)",ClinicalTrialTimePointID
"(0012,0051)",ClinicalTrialTimePointDescription
"(0012,0052)",LongitudinalTemporalOffsetFromEvent
"(0012,0053)",LongitudinalTemporalEventType
"(0012,0060)",ClinicalTrialCoordinatingCenterName
"(0012,0062)",PatientIdentityRemoved
"(0012,0063)",DeidentificationMethod
"(0012,0064)",DeidentificationMethodCodeSequence
"(0012,0071)",ClinicalTrialSeriesID
"(0012,0072)",ClinicalTrialSeriesDescription
"(0012,0081)",ClinicalTrialProtocolEthicsCommitteeName
"(0012,0082)",ClinicalTrialProtocolEthicsCommitteeApprovalNumber
"(0012,0083)",ConsentForClinicalTrialUseSequence
"(0012,0084)",DistributionType
"(0012,0085)",ConsentForDistributionFlag
"(0012,0086)",EthicsCommitteeApprovalEffectivenessStartDate
"(0012,0087)",EthicsCommitteeApprovalEffectivenessEndDate
"(0014,0104)",SecondaryReviewerName
"(0014,2006)",EvaluatorName
"(0032,000A)",StudyStatusID
"(0032,000C)",StudyPriorityID
"(0032,0012)",StudyIDIssuer
"(0032,0032)",StudyVerifiedDate
"(0032,0033)",StudyVerifiedTime
"(0032,0034)",StudyReadDate
"(0032,0035)",StudyReadTime
"(0032,1000)",ScheduledStudyStartDate
"(0032,1001)",ScheduledStudyStartTime
"(0032,1010)",ScheduledStudyStopDate
"(0032,1011)",ScheduledStudyStopTime
"(0032,1020)",ScheduledStudyLocation
"(0032,1021)",ScheduledStudyLocationAETitle
"(0032,1030)",ReasonForStudy
"(0032,1031)",RequestingPhysicianIdentificationSequence
"(0032,1032)",RequestingPhysician
"(0032,1033)",RequestingService
"(0032,1034)",RequestingServiceCodeSequence
"(0032,1040)",StudyArrivalDate
"(0032,1041)",StudyArrivalTime
"(0032,1050)",StudyCompletionDate
"(0032,1051)",StudyCompletionTime
"(0032,1055)",StudyComponentStatusID
"(0032,1060)",RequestedProcedureDescription
"(0032,1064)",RequestedProcedureCodeSequence
"(0032,1066)",ReasonForVisit
"(0032,1067)",ReasonForVisitCodeSequence
"(0032,1070)",RequestedContrastAgent
"(0032,4000)",StudyComments
"(0038,0004)",ReferencedPatientAliasSequence
"(0038,0008)",VisitStatusID
"(0038,0010)",AdmissionID
"(0038,0011)",IssuerOfAdmissionID
"(0038,0014)",IssuerOfAdmissionIDSequence
"(0038,0016)",RouteOfAdmissions
"(0038,001A)",ScheduledAdmissionDate
"(0038,001B)",ScheduledAdmissionTime
"(0038,001C)",ScheduledDischargeDate
"(0038,001D)",ScheduledDischargeTime
"(0038,001E)",ScheduledPatientInstitutionResidence
"(0038,0020)",AdmittingDate
"(0038,0021)",AdmittingTime
"(0038,0030)",DischargeDate
"(0038,0032)",DischargeTime
"(0038,0040)",DischargeDiagnosisDescription
"(0038,0044)",DischargeDiagnosisCodeSequence
"(0038,0050)",SpecialNeeds
"(0038,0060)",ServiceEpisodeID
"(0038,0061)",IssuerOfServiceEpisodeID
"(0038,0062)",ServiceEpisodeDescription
"(0038,0064)",IssuerOfServiceEpisodeIDSequence
"(0038,0100)",PertinentDocumentsSequence
"(0038,0101)",PertinentResourcesSequence
"(0038,0102)",ResourceDescription
"(0038,0300)",CurrentPatientLocation
"(0038,0400)",PatientInstitutionResidence
"(0038,0500)",PatientState
"(0038,0502)",PatientClinicalTrialParticipationSequence
"(0038,4000)",VisitComments
"(0040,0006)",ScheduledPerformingPhysicianName
"(0040,1010)",NamesOfIntendedRecipientsOfResults
"(0040,2008)",OrderEnteredBy
"(0040,4037)",HumanPerformerName
"(0040,A067)",DocumentAuthorTrial
"(0040,A075)",VerifyingObserverName
"(0040,A123)",PersonName
"(0040,A307)",CurrentObserverTrial
"(0040,A352)",VerbalSourceTrial
"(0070,0084)",ContentCreatorName
"(0072,006A)",SelectorPNValue
"(3006,00A6)",ROIInterpreter
"(300E,0008)",ReviewerName
"(4008,0102)",InterpretationRecorder
"(4008,010A)",InterpretationTranscriber
"(4008,010C)",InterpretationAuthor
"(4008,0114)",PhysicianApprovingInterpretation
"(4008,0119)",DistributionName
