Tag,VR,Keyword
"(0008,0001)",UL,LengthToEnd
"(0008,0005)",CS,SpecificCharacterSet
"(0008,0006)",SQ,LanguageCodeSequence
"(0008,0008)",CS,ImageType
"(0008,0010)",SH,RecognitionCode
"(0008,0012)",DA,InstanceCreationDate
"(0008,0013)",TM,InstanceCreationTime
"(0008,0014)",UI,InstanceCreatorUID
"(0008,0015)",DT,InstanceCoercionDateTime
"(0008,0016)",UI,SOPClassUID
"(0008,0018)",UI,SOPInstanceUID
"(0008,001A)",UI,RelatedGeneralSOPClassUID
"(0008,001B)",UI,OriginalSpecializedSOPClassUID
"(0008,0020)",DA,StudyDate
"(0008,0021)",DA,SeriesDate
"(0008,0022)",DA,AcquisitionDate
"(0008,0023)",DA,ContentDate
"(0008,0024)",DA,OverlayDate
"(0008,0025)",DA,CurveDate
"(0008,002A)",DT,AcquisitionDateTime
"(0008,0030)",TM,StudyTime
"(0008,0031)",TM,SeriesTime
"(0008,0032)",TM,AcquisitionTime
"(0008,0033)",TM,ContentTime
"(0008,0034)",TM,OverlayTime
"(0008,0035)",TM,CurveTime
"(0008,0040)",US,DataSetType
"(0008,0041)",LO,DataSetSubtype
"(0008,0042)",CS,NuclearMedicineSeriesType
"(0008,0050)",SH,AccessionNumber
"(0008,0051)",SQ,IssuerOfAccessionNumberSequence
"(0008,0052)",CS,QueryRetrieveLevel
"(0008,0053)",CS,QueryRetrieveView
"(0008,0054)",AE,RetrieveAETitle
"(0008,0055)",AE,StationAETitle
"(0008,0056)",CS,InstanceAvailability
"(0008,0058)",UI,FailedSOPInstanceUIDList
"(0008,0060)",CS,Modality
"(0008,0061)",CS,ModalitiesInStudy
"(0008,0062)",UI,SOPClassesInStudy
"(0008,0063)",SQ,AnatomicRegionsInStudyCodeSequence
"(0008,0064)",CS,ConversionType
"(0008,0068)",CS,PresentationIntentType
"(0008,0070)",LO,Manufacturer
"(0008,0080)",LO,InstitutionName
"(0008,0081)",ST,InstitutionAddress
"(0008,0082)",SQ,InstitutionCodeSequence
"(0008,0090)",PN,ReferringPhysicianName
"(0008,0092)",ST,ReferringPhysicianAddress
"(0008,0094)",SH,ReferringPhysicianTelephoneNumbers
"(0008,0096)",SQ,ReferringPhysicianIdentificationSequence
"(0008,009C)",PN,ConsultingPhysicianName
"(0008,009D)",SQ,ConsultingPhysicianIdentificationSequence
"(0008,0100)",SH,CodeValue
"(0008,0101)",LO,ExtendedCodeValue
"(0008,0102)",SH,CodingSchemeDesignator
"(0008,0103)",SH,CodingSchemeVersion
"(0008,0104)",LO,CodeMeaning
"(0008,0105)",CS,MappingResource
"(0008,0106)",DT,ContextGroupVersion
"(0008,0107)",DT,ContextGroupLocalVersion
"(0008,0108)",LT,ExtendedCodeMeaning
"(0008,0109)",SQ,CodingSchemeResourcesSequence
"(0008,010A)",CS,CodingSchemeURLType
"(0008,010B)",CS,ContextGroupExtensionFlag
"(0008,010C)",UI,CodingSchemeUID
"(0008,010D)",UI,ContextGroupExtensionCreatorUID
"(0008,010E)",UR,CodingSchemeURL
"(0008,010F)",CS,ContextIdentifier
"(0008,0110)",SQ,CodingSchemeIdentificationSequence
"(0008,0112)",LO,CodingSchemeRegistry
"(0008,0114)",ST,CodingSchemeExternalID
"(0008,0115)",ST,CodingSchemeName
"(0008,0116)",ST,CodingSchemeResponsibleOrganization
"(0008,0117)",UI,ContextUID
"(0008,0118)",UI,MappingResourceUID
"(0008,0119)",UC,LongCodeValue
"(0008,0120)",UR,URNCodeValue
"(0008,0121)",SQ,EquivalentCodeSequence
"(0008,0122)",LO,MappingResourceName
"(0008,0123)",SQ,ContextGroupIdentificationSequence
"(0008,0124)",SQ,MappingResourceIdentificationSequence
"(0008,0201)",SH,TimezoneOffsetFromUTC
"(0008,0220)",SQ,ResponsibleGroupCodeSequence
"(0008,0221)",CS,EquipmentModality
"(0008,0222)",LO,ManufacturerRelatedModelGroup
"(0008,0300)",SQ,PrivateDataElementCharacteristicsSequence
"(0008,0301)",US,PrivateGroupReference
"(0008,0302)",LO,PrivateCreatorReference
"(0008,0303)",CS,BlockIdentifyingInformationStatus
"(0008,0304)",US,NonidentifyingPrivateElements
"(0008,0305)",SQ,DeidentificationActionSequence
"(0008,0306)",US,IdentifyingPrivateElements
"(0008,0307)",CS,DeidentificationAction
"(0008,0308)",US,PrivateDataElement
"(0008,0309)",UL,PrivateDataElementValueMultiplicity
"(0008,030A)",CS,PrivateDataElementValueRepresentation
"(0008,030B)",UL,PrivateDataElementNumberOfItems
"(0008,030C)",UC,PrivateDataElementName
"(0008,030D)",UC,PrivateDataElementKeyword
"(0008,030E)",UT,PrivateDataElementDescription
"(0008,030F)",UT,PrivateDataElementEncoding
"(0008,0310)",SQ,PrivateDataElementDefinitionSequence
"(0008,1000)",AE,NetworkID
"(0008,1010)",SH,StationName
"(0008,1030)",LO,StudyDescription
"(0008,1032)",SQ,ProcedureCodeSequence
"(0008,103E)",LO,SeriesDescription
"(0008,103F)",SQ,SeriesDescriptionCodeSequence
"(0008,1040)",LO,InstitutionalDepartmentName
"(0008,1041)",SQ,InstitutionalDepartmentTypeCodeSequence
"(0008,1048)",PN,PhysiciansOfRecord
"(0008,1049)",SQ,PhysiciansOfRecordIdentificationSequence
"(0008,1050)",PN,PerformingPhysicianName
"(0008,1052)",SQ,PerformingPhysicianIdentificationSequence
"(0008,1060)",PN,NameOfPhysiciansReadingStudy
"(0008,1062)",SQ,PhysiciansReadingStudyIdentificationSequence
"(0008,1070)",PN,OperatorsName
"(0008,1072)",SQ,OperatorIdentificationSequence
"(0008,1080)",LO,AdmittingDiagnosesDescription
"(0008,1084)",SQ,AdmittingDiagnosesCodeSequence
"(0008,1090)",LO,ManufacturerModelName
"(0008,1100)",SQ,ReferencedResultsSequence
"(0008,1110)",SQ,ReferencedStudySequence
"(0008,1111)",SQ,ReferencedPerformedProcedureStepSequence
"(0008,1115)",SQ,ReferencedSeriesSequence
"(0008,1120)",SQ,ReferencedPatientSequence
"(0008,1125)",SQ,ReferencedVisitSequence
"(0008,1130)",SQ,ReferencedOverlaySequence
"(0008,1134)",SQ,ReferencedStereometricInstanceSequence
"(0008,113A)",SQ,ReferencedWaveformSequence
"(0008,1140)",SQ,ReferencedImageSequence
"(0008,1145)",SQ,ReferencedCurveSequence
"(0008,114A)",SQ,ReferencedInstanceSequence
"(0008,114B)",SQ,ReferencedRealWorldValueMappingInstanceSequence
"(0008,1150)",UI,ReferencedSOPClassUID
"(0008,1155)",UI,ReferencedSOPInstanceUID
"(0008,1156)",SQ,DefinitionSourceSequence
"(0008,115A)",UI,SOPClassesSupported
"(0008,1160)",IS,ReferencedFrameNumber
"(0008,1161)",UL,SimpleFrameList
"(0008,1162)",UL,CalculatedFrameList
"(0008,1163)",FD,TimeRange
"(0008,1164)",SQ,FrameExtractionSequence
"(0008,1167)",UI,MultiFrameSourceSOPInstanceUID
"(0008,1190)",UR,RetrieveURL
"(0008,1195)",UI,TransactionUID
"(0008,1196)",US,WarningReason
"(0008,1197)",US,FailureReason
"(0008,1198)",SQ,FailedSOPSequence
"(0008,1199)",SQ,ReferencedSOPSequence
"(0008,119A)",SQ,OtherFailuresSequence
"(0008,1200)",SQ,StudiesContainingOtherReferencedInstancesSequence
"(0008,1250)",SQ,RelatedSeriesSequence
"(0008,2110)",CS,LossyImageCompressionRetired
"(0008,2111)",ST,DerivationDescription
"(0008,2112)",SQ,SourceImageSequence
"(0008,2120)",SH,StageName
"(0008,2122)",IS,StageNumber
"(0008,2124)",IS,NumberOfStages
"(0008,2127)",SH,ViewName
"(0008,2128)",IS,ViewNumber
"(0008,2129)",IS,NumberOfEventTimers
"(0008,212A)",IS,NumberOfViewsInStage
"(0008,2130)",DS,EventElapsedTimes
"(0008,2132)",LO,EventTimerNames
"(0008,2133)",SQ,EventTimerSequence
"(0008,2134)",FD,EventTimeOffset
"(0008,2135)",SQ,EventCodeSequence
"(0008,2142)",IS,StartTrim
"(0008,2143)",IS,StopTrim
"(0008,2144)",IS,RecommendedDisplayFrameRate
"(0008,2200)",CS,TransducerPosition
"(0008,2204)",CS,TransducerOrientation
"(0008,2208)",CS,AnatomicStructure
"(0008,2218)",SQ,AnatomicRegionSequence
"(0008,2220)",SQ,AnatomicRegionModifierSequence
"(0008,2228)",SQ,PrimaryAnatomicStructureSequence
"(0008,2229)",SQ,AnatomicStructureSpaceOrRegionSequence
"(0008,2230)",SQ,PrimaryAnatomicStructureModifierSequence
"(0008,2240)",SQ,TransducerPositionSequence
"(0008,2242)",SQ,TransducerPositionModifierSequence
"(0008,2244)",SQ,TransducerOrientationSequence
"(0008,2246)",SQ,TransducerOrientationModifierSequence
"(0008,2251)",SQ,AnatomicStructureSpaceOrRegionCodeSequenceTrial
"(0008,2253)",SQ,AnatomicPortalOfEntranceCodeSequenceTrial
"(0008,2255)",SQ,AnatomicApproachDirectionCodeSequenceTrial
"(0008,2256)",ST,AnatomicPerspectiveDescriptionTrial
"(0008,2257)",SQ,AnatomicPerspectiveCodeSequenceTrial
"(0008,2258)",ST,AnatomicLocationOfExaminingInstrumentDescriptionTrial
"(0008,2259)",SQ,AnatomicLocationOfExaminingInstrumentCodeSequenceTrial
"(0008,225A)",SQ,AnatomicStructureSpaceOrRegionModifierCodeSequenceTrial
"(0008,225C)",SQ,OnAxisBackgroundAnatomicStructureCodeSequenceTrial
"(0008,3001)",SQ,AlternateRepresentationSequence
"(0008,3002)",UI,AvailableTransferSyntaxUID
"(0008,3010)",UI,IrradiationEventUID
"(0008,3011)",SQ,SourceIrradiationEventSequence
"(0008,3012)",UI,RadiopharmaceuticalAdministrationEventUID
"(0008,4000)",LT,IdentifyingComments
"(0008,9007)",CS,FrameType
"(0008,9092)",SQ,ReferencedImageEvidenceSequence
"(0008,9121)",SQ,ReferencedRawDataSequence
"(0008,9123)",UI,CreatorVersionUID
"(0008,9124)",SQ,DerivationImageSequence
"(0008,9154)",SQ,SourceImageEvidenceSequence
"(0008,9205)",CS,PixelPresentation
"(0008,9206)",CS,VolumetricProperties
"(0008,9207)",CS,VolumeBasedCalculationTechnique
"(0008,9208)",CS,ComplexImageComponent
"(0008,9209)",CS,AcquisitionContrast
"(0008,9215)",SQ,DerivationCodeSequence
"(0008,9237)",SQ,ReferencedPresentationStateSequence
"(0008,9410)",SQ,ReferencedOtherPlaneSequence
"(0008,9458)",SQ,FrameDisplaySequence
"(0008,9459)",FL,RecommendedDisplayFrameRateInFloat
"(0008,9460)",CS,SkipFrameRangeFlag
"(0010,0010)",PN,PatientName
"(0010,0020)",LO,PatientID
"(0010,0021)",LO,IssuerOfPatientID
"(0010,0022)",CS,TypeOfPatientID
"(0010,0024)",SQ,IssuerOfPatientIDQualifiersSequence
"(0010,0026)",SQ,SourcePatientGroupIdentificationSequence
"(0010,0027)",SQ,GroupOfPatientsIdentificationSequence
"(0010,0028)",US,SubjectRelativePositionInImage
"(0010,0030)",DA,PatientBirthDate
"(0010,0032)",TM,PatientBirthTime
"(0010,0033)",LO,PatientBirthDateInAlternativeCalendar
"(0010,0034)",LO,PatientDeathDateInAlternativeCalendar
"(0010,0035)",CS,PatientAlternativeCalendar
"(0010,0040)",CS,PatientSex
"(0010,0050)",SQ,PatientInsurancePlanCodeSequence
"(0010,0101)",SQ,PatientPrimaryLanguageCodeSequence
"(0010,0102)",SQ,PatientPrimaryLanguageModifierCodeSequence
"(0010,0200)",CS,QualityControlSubject
"(0010,0201)",SQ,QualityControlSubjectTypeCodeSequence
"(0010,0212)",UC,StrainDescription
"(0010,0213)",LO,StrainNomenclature
"(0010,0214)",LO,StrainStockNumber
"(0010,0215)",SQ,StrainSourceRegistryCodeSequence
"(0010,0216)",SQ,StrainStockSequence
"(0010,0217)",LO,StrainSource
"(0010,0218)",UT,StrainAdditionalInformation
"(0010,0219)",SQ,StrainCodeSequence
"(0010,0221)",SQ,GeneticModificationsSequence
"(0010,0222)",UC,GeneticModificationsDescription
"(0010,0223)",LO,GeneticModificationsNomenclature
"(0010,0229)",SQ,GeneticModificationsCodeSequence
"(0010,1000)",LO,OtherPatientIDs
"(0010,1001)",PN,OtherPatientNames
"(0010,1002)",SQ,OtherPatientIDsSequence
"(0010,1005)",PN,PatientBirthName
"(0010,1010)",AS,PatientAge
"(0010,1020)",DS,PatientSize
"(0010,1021)",SQ,PatientSizeCodeSequence
"(0010,1022)",DS,PatientBodyMassIndex
"(0010,1023)",DS,MeasuredAPDimension
"(0010,1024)",DS,MeasuredLateralDimension
"(0010,1030)",DS,PatientWeight
"(0010,1040)",LO,PatientAddress
"(0010,1050)",LO,InsurancePlanIdentification
"(0010,1060)",PN,PatientMotherBirthName
"(0010,1080)",LO,MilitaryRank
"(0010,1081)",LO,BranchOfService
"(0010,1090)",LO,MedicalRecordLocator
"(0010,1100)",SQ,ReferencedPatientPhotoSequence
"(0010,2000)",LO,MedicalAlerts
"(0010,2110)",LO,Allergies
"(0010,2150)",LO,CountryOfResidence
"(0010,2152)",LO,RegionOfResidence
"(0010,2154)",SH,PatientTelephoneNumbers
"(0010,2155)",LT,PatientTelecomInformation
"(0010,2160)",SH,EthnicGroup
"(0010,2180)",SH,Occupation
"(0010,21A0)",CS,SmokingStatus
"(0010,21B0)",LT,AdditionalPatientHistory
"(0010,21C0)",US,PregnancyStatus
"(0010,21D0)",DA,LastMenstrualDate
"(0010,21F0)",LO,PatientReligiousPreference
"(0010,2201)",LO,PatientSpeciesDescription
"(0010,2202)",SQ,PatientSpeciesCodeSequence
"(0010,2203)",CS,PatientSexNeutered
"(0010,2210)",CS,AnatomicalOrientationType
"(0010,2292)",LO,PatientBreedDescription
"(0010,2293)",SQ,PatientBreedCodeSequence
"(0010,2294)",SQ,BreedRegistrationSequence
"(0010,2295)",LO,BreedRegistrationNumber
"(0010,2296)",SQ,BreedRegistryCodeSequence
"(0010,2297)",PN,ResponsiblePerson
"(0010,2298)",CS,ResponsiblePersonRole
"(0010,2299)",LO,ResponsibleOrganization
"(0010,4000)",LT,PatientComments
"(0010,9431)",FL,ExaminedBodyThickness
"(0012,0010)",LO,ClinicalTrialSponsorName
"(0012,0020)",LO,ClinicalTrialProtocolID
"(0012,0021)",LO,ClinicalTrialProtocolName
"(0012,0030)",LO,ClinicalTrialSiteID
"(0012,0031)",LO,ClinicalTrialSiteName
"(0012,0040)",LO,ClinicalTrialSubjectID
"(0012,0042)",LO,ClinicalTrialSubjectReadingID
"(0012,0050)",LO,ClinicalTrialTimePointID
"(0012,0051)",ST,ClinicalTrialTimePointDescription
"(0012,0052)",FD,LongitudinalTemporalOffsetFromEvent
"(0012,0053)",CS,LongitudinalTemporalEventType
"(0012,0060)",LO,ClinicalTrialCoordinatingCenterName
"(0012,0062)",CS,PatientIdentityRemoved
"(0012,0063)",LO,DeidentificationMethod
"(0012,0064)",SQ,DeidentificationMethodCodeSequence
"(0012,0071)",LO,ClinicalTrialSeriesID
"(0012,0072)",LO,ClinicalTrialSeriesDescription
"(0012,0081)",LO,ClinicalTrialProtocolEthicsCommitteeName
"(0012,0082)",LO,ClinicalTrialProtocolEthicsCommitteeApprovalNumber
"(0012,0083)",SQ,ConsentForClinicalTrialUseSequence
"(0012,0084)",CS,DistributionType
"(0012,0085)",CS,ConsentForDistributionFlag
"(0012,0086)",DA,EthicsCommitteeApprovalEffectivenessStartDate
"(0012,0087)",DA,EthicsCommitteeApprovalEffectivenessEndDate
"(0014,0023)",ST,CADFileFormat
"(0014,0024)",ST,ComponentReferenceSystem
"(0014,0025)",ST,ComponentManufacturingProcedure
"(0014,0028)",ST,ComponentManufacturer
"(0014,0030)",DS,MaterialThickness
"(0014,0032)",DS,MaterialPipeDiameter
"(0014,0034)",DS,MaterialIsolationDiameter
"(0014,0042)",ST,MaterialGrade
"(0014,0044)",ST,MaterialPropertiesDescription
"(0014,0045)",ST,MaterialPropertiesFileFormatRetired
"(0014,0046)",LT,MaterialNotes
"(0014,0050)",CS,ComponentShape
"(0014,0052)",CS,CurvatureType
"(0014,0054)",DS,OuterDiameter
"(0014,0056)",DS,InnerDiameter
"(0014,0100)",LO,ComponentWelderIDs
"(0014,0101)",CS,SecondaryApprovalStatus
"(0014,0102)",DA,SecondaryReviewDate
"(0014,0103)",TM,SecondaryReviewTime
"(0014,0104)",PN,SecondaryReviewerName
"(0014,0105)",ST,RepairID
"(0014,0106)",SQ,MultipleComponentApprovalSequence
"(0014,0107)",CS,OtherApprovalStatus
"(0014,0108)",CS,OtherSecondaryApprovalStatus
"(0014,1010)",ST,ActualEnvironmentalConditions
"(0014,1020)",DA,ExpiryDate
"(0014,1040)",ST,EnvironmentalConditions
"(0014,2002)",SQ,EvaluatorSequence
"(0014,2004)",IS,EvaluatorNumber
"(0014,2006)",PN,EvaluatorName
"(0014,2008)",IS,EvaluationAttempt
"(0014,2012)",SQ,IndicationSequence
"(0014,2014)",IS,IndicationNumber
"(0014,2016)",SH,IndicationLabel
"(0014,2018)",ST,IndicationDescription
"(0014,201A)",CS,IndicationType
"(0014,201C)",CS,IndicationDisposition
"(0014,201E)",SQ,IndicationROISequence
"(0014,2030)",SQ,IndicationPhysicalPropertySequence
"(0014,2032)",SH,PropertyLabel
"(0014,2202)",IS,CoordinateSystemNumberOfAxes
"(0014,2204)",SQ,CoordinateSystemAxesSequence
"(0014,2206)",ST,CoordinateSystemAxisDescription
"(0014,2208)",CS,CoordinateSystemDataSetMapping
"(0014,220A)",IS,CoordinateSystemAxisNumber
"(0014,220C)",CS,CoordinateSystemAxisType
"(0014,220E)",CS,CoordinateSystemAxisUnits
"(0014,2210)",OB,CoordinateSystemAxisValues
"(0014,2220)",SQ,CoordinateSystemTransformSequence
"(0014,2222)",ST,TransformDescription
"(0014,2224)",IS,TransformNumberOfAxes
"(0014,2226)",IS,TransformOrderOfAxes
"(0014,2228)",CS,TransformedAxisUnits
"(0014,222A)",DS,CoordinateSystemTransformRotationAndScaleMatrix
"(0014,222C)",DS,CoordinateSystemTransformTranslationMatrix
"(0014,3011)",DS,InternalDetectorFrameTime
"(0014,3012)",DS,NumberOfFramesIntegrated
"(0014,3020)",SQ,DetectorTemperatureSequence
"(0014,3022)",ST,SensorName
"(0014,3024)",DS,HorizontalOffsetOfSensor
"(0014,3026)",DS,VerticalOffsetOfSensor
"(0014,3028)",DS,SensorTemperature
"(0014,3040)",SQ,DarkCurrentSequence
"(0014,3050)",OB or OW,DarkCurrentCounts
"(0014,3060)",SQ,GainCorrectionReferenceSequence
"(0014,3070)",OB or OW,AirCounts
"(0014,3071)",DS,KVUsedInGainCalibration
"(0014,3072)",DS,MAUsedInGainCalibration
"(0014,3073)",DS,NumberOfFramesUsedForIntegration
"(0014,3074)",LO,FilterMaterialUsedInGainCalibration
"(0014,3075)",DS,FilterThicknessUsedInGainCalibration
"(0014,3076)",DA,DateOfGainCalibration
"(0014,3077)",TM,TimeOfGainCalibration
"(0014,3080)",OB,BadPixelImage
"(0014,3099)",LT,CalibrationNotes
"(0014,4002)",SQ,PulserEquipmentSequence
"(0014,4004)",CS,PulserType
"(0014,4006)",LT,PulserNotes
"(0014,4008)",SQ,ReceiverEquipmentSequence
"(0014,400A)",CS,AmplifierType
"(0014,400C)",LT,ReceiverNotes
"(0014,400E)",SQ,PreAmplifierEquipmentSequence
"(0014,400F)",LT,PreAmplifierNotes
"(0014,4010)",SQ,TransmitTransducerSequence
"(0014,4011)",SQ,ReceiveTransducerSequence
"(0014,4012)",US,NumberOfElements
"(0014,4013)",CS,ElementShape
"(0014,4014)",DS,ElementDimensionA
"(0014,4015)",DS,ElementDimensionB
"(0014,4016)",DS,ElementPitchA
"(0014,4017)",DS,MeasuredBeamDimensionA
"(0014,4018)",DS,MeasuredBeamDimensionB
"(0014,4019)",DS,LocationOfMeasuredBeamDiameter
"(0014,401A)",DS,NominalFrequency
"(0014,401B)",DS,MeasuredCenterFrequency
"(0014,401C)",DS,MeasuredBandwidth
"(0014,401D)",DS,ElementPitchB
"(0014,4020)",SQ,PulserSettingsSequence
"(0014,4022)",DS,PulseWidth
"(0014,4024)",DS,ExcitationFrequency
"(0014,4026)",CS,ModulationType
"(0014,4028)",DS,Damping
"(0014,4030)",SQ,ReceiverSettingsSequence
"(0014,4031)",DS,AcquiredSoundpathLength
"(0014,4032)",CS,AcquisitionCompressionType
"(0014,4033)",IS,AcquisitionSampleSize
"(0014,4034)",DS,RectifierSmoothing
"(0014,4035)",SQ,DACSequence
"(0014,4036)",CS,DACType
"(0014,4038)",DS,DACGainPoints
"(0014,403A)",DS,DACTimePoints
"(0014,403C)",DS,DACAmplitude
"(0014,4040)",SQ,PreAmplifierSettingsSequence
"(0014,4050)",SQ,TransmitTransducerSettingsSequence
"(0014,4051)",SQ,ReceiveTransducerSettingsSequence
"(0014,4052)",DS,IncidentAngle
"(0014,4054)",ST,CouplingTechnique
"(0014,4056)",ST,CouplingMedium
"(0014,4057)",DS,CouplingVelocity
"(0014,4058)",DS,ProbeCenterLocationX
"(0014,4059)",DS,ProbeCenterLocationZ
"(0014,405A)",DS,SoundPathLength
"(0014,405C)",ST,DelayLawIdentifier
"(0014,4060)",SQ,GateSettingsSequence
"(0014,4062)",DS,GateThreshold
"(0014,4064)",DS,VelocityOfSound
"(0014,4070)",SQ,CalibrationSettingsSequence
"(0014,4072)",ST,CalibrationProcedure
"(0014,4074)",SH,ProcedureVersion
"(0014,4076)",DA,ProcedureCreationDate
"(0014,4078)",DA,ProcedureExpirationDate
"(0014,407A)",DA,ProcedureLastModifiedDate
"(0014,407C)",TM,CalibrationTime
"(0014,407E)",DA,CalibrationDate
"(0014,4080)",SQ,ProbeDriveEquipmentSequence
"(0014,4081)",CS,DriveType
"(0014,4082)",LT,ProbeDriveNotes
"(0014,4083)",SQ,DriveProbeSequence
"(0014,4084)",DS,ProbeInductance
"(0014,4085)",DS,ProbeResistance
"(0014,4086)",SQ,ReceiveProbeSequence
"(0014,4087)",SQ,ProbeDriveSettingsSequence
"(0014,4088)",DS,BridgeResistors
"(0014,4089)",DS,ProbeOrientationAngle
"(0014,408B)",DS,UserSelectedGainY
"(0014,408C)",DS,UserSelectedPhase
"(0014,408D)",DS,UserSelectedOffsetX
"(0014,408E)",DS,UserSelectedOffsetY
"(0014,4091)",SQ,ChannelSettingsSequence
"(0014,4092)",DS,ChannelThreshold
"(0014,409A)",SQ,ScannerSettingsSequence
"(0014,409B)",ST,ScanProcedure
"(0014,409C)",DS,TranslationRateX
"(0014,409D)",DS,TranslationRateY
"(0014,409F)",DS,ChannelOverlap
"(0014,40A0)",LO,ImageQualityIndicatorType
"(0014,40A1)",LO,ImageQualityIndicatorMaterial
"(0014,40A2)",LO,ImageQualityIndicatorSize
"(0014,5002)",IS,LINACEnergy
"(0014,5004)",IS,LINACOutput
"(0014,5100)",US,ActiveAperture
"(0014,5101)",DS,TotalAperture
"(0014,5102)",DS,ApertureElevation
"(0014,5103)",DS,MainLobeAngle
"(0014,5104)",DS,MainRoofAngle
"(0014,5105)",CS,ConnectorType
"(0014,5106)",SH,WedgeModelNumber
"(0014,5107)",DS,WedgeAngleFloat
"(0014,5108)",DS,WedgeRoofAngle
"(0014,5109)",CS,WedgeElement1Position
"(0014,510A)",DS,WedgeMaterialVelocity
"(0014,510B)",SH,WedgeMaterial
"(0014,510C)",DS,WedgeOffsetZ
"(0014,510D)",DS,WedgeOriginOffsetX
"(0014,510E)",DS,WedgeTimeDelay
"(0014,510F)",SH,WedgeName
"(0014,5110)",SH,WedgeManufacturerName
"(0014,5111)",LO,WedgeDescription
"(0014,5112)",DS,NominalBeamAngle
"(0014,5113)",DS,WedgeOffsetX
"(0014,5114)",DS,WedgeOffsetY
"(0014,5115)",DS,WedgeTotalLength
